,stock_id,date_id,seconds_in_bucket,time_id,revealed_target,revealed_date_id,revealed_time_id
2,2.0,478,0,26290,-0.43988228,477.0,26235.0
202,2.0,478,10,26290,-6.740093,477.0,26236.0
402,2.0,478,20,26290,-5.26011,477.0,26237.0
602,2.0,478,30,26290,0.30994415,477.0,26238.0
802,2.0,478,40,26290,12.429953,477.0,26239.0
1002,2.0,478,50,26290,15.05971,477.0,26240.0
1202,2.0,478,60,26290,22.870302,477.0,26241.0
1402,2.0,478,70,26290,27.610064,477.0,26242.0
1602,2.0,478,80,26290,22.939444,477.0,26243.0
1802,2.0,478,90,26290,20.7901,477.0,26244.0
2002,2.0,478,100,26290,12.550354,477.0,26245.0
2202,2.0,478,110,26290,7.1001053,477.0,26246.0
2402,2.0,478,120,26290,-0.14007092,477.0,26247.0
2602,2.0,478,130,26290,-7.420182,477.0,26248.0
2802,2.0,478,140,26290,-12.540221,477.0,26249.0
3002,2.0,478,150,26290,-14.389753,477.0,26250.0
3202,2.0,478,160,26290,-14.290214,477.0,26251.0
3402,2.0,478,170,26290,-9.44972,477.0,26252.0
3602,2.0,478,180,26290,-9.199977,477.0,26253.0
3802,2.0,478,190,26290,-3.0499697,477.0,26254.0
4002,2.0,478,200,26290,5.43952,477.0,26255.0
4202,2.0,478,210,26290,5.429983,477.0,26256.0
4402,2.0,478,220,26290,5.7196617,477.0,26257.0
4602,2.0,478,230,26290,4.400015,477.0,26258.0
4802,2.0,478,240,26290,-5.300045,477.0,26259.0
5002,2.0,478,250,26290,-4.1502714,477.0,26260.0
5202,2.0,478,260,26290,-6.7698956,477.0,26261.0
5402,2.0,478,270,26290,-10.610223,477.0,26262.0
5602,2.0,478,280,26290,-13.499856,477.0,26263.0
5802,2.0,478,290,26290,-13.449788,477.0,26264.0
6002,2.0,478,300,26290,-8.069873,477.0,26265.0
6202,2.0,478,310,26290,-2.8300285,477.0,26266.0
6402,2.0,478,320,26290,-8.550286,477.0,26267.0
6602,2.0,478,330,26290,-3.3301115,477.0,26268.0
6802,2.0,478,340,26290,-3.6001205,477.0,26269.0
7002,2.0,478,350,26290,-2.359748,477.0,26270.0
7202,2.0,478,360,26290,-1.9198656,477.0,26271.0
7402,2.0,478,370,26290,-6.3097477,477.0,26272.0
7602,2.0,478,380,26290,-1.0699034,477.0,26273.0
7802,2.0,478,390,26290,-1.270175,477.0,26274.0
8002,2.0,478,400,26290,-3.4600496,477.0,26275.0
8202,2.0,478,410,26290,-4.6801567,477.0,26276.0
8402,2.0,478,420,26290,-1.4197826,477.0,26277.0
8602,2.0,478,430,26290,1.1897087,477.0,26278.0
8802,2.0,478,440,26290,2.1505356,477.0,26279.0
9002,2.0,478,450,26290,-1.8399954,477.0,26280.0
9202,2.0,478,460,26290,2.6798248,477.0,26281.0
9402,2.0,478,470,26290,-4.5901537,477.0,26282.0
9602,2.0,478,480,26290,0.79989433,477.0,26283.0
9802,2.0,478,490,26290,-4.670024,477.0,26284.0
10002,2.0,478,500,26290,2.8002262,477.0,26285.0
10202,2.0,478,510,26290,4.349947,477.0,26286.0
10402,2.0,478,520,26290,3.9994717,477.0,26287.0
10602,2.0,478,530,26290,12.8901005,477.0,26288.0
10802,2.0,478,540,26290,4.5895576,477.0,26289.0
11056,2.0,479,0,26345,-0.09000301,478.0,26290.0
11256,2.0,479,10,26345,4.620552,478.0,26291.0
11456,2.0,479,20,26345,5.170107,478.0,26292.0
11656,2.0,479,30,26345,2.6094913,478.0,26293.0
11856,2.0,479,40,26345,3.900528,478.0,26294.0
12056,2.0,479,50,26345,9.540319,478.0,26295.0
12256,2.0,479,60,26345,8.620024,478.0,26296.0
12456,2.0,479,70,26345,5.609989,478.0,26297.0
12656,2.0,479,80,26345,0.7200241,478.0,26298.0
12856,2.0,479,90,26345,3.399849,478.0,26299.0
13056,2.0,479,100,26345,3.130436,478.0,26300.0
13256,2.0,479,110,26345,2.670288,478.0,26301.0
13456,2.0,479,120,26345,3.7801266,478.0,26302.0
13656,2.0,479,130,26345,-0.2002716,478.0,26303.0
13856,2.0,479,140,26345,2.219677,478.0,26304.0
14056,2.0,479,150,26345,1.5294552,478.0,26305.0
14256,2.0,479,160,26345,0.9703636,478.0,26306.0
14456,2.0,479,170,26345,0.02026558,478.0,26307.0
14656,2.0,479,180,26345,1.9001961,478.0,26308.0
14856,2.0,479,190,26345,4.210472,478.0,26309.0
15056,2.0,479,200,26345,2.4700165,478.0,26310.0
15256,2.0,479,210,26345,1.1503696,478.0,26311.0
15456,2.0,479,220,26345,0.7200241,478.0,26312.0
15656,2.0,479,230,26345,-5.7399273,478.0,26313.0
15856,2.0,479,240,26345,-7.830262,478.0,26314.0
16056,2.0,479,250,26345,-6.3598156,478.0,26315.0
16256,2.0,479,260,26345,-1.6802549,478.0,26316.0
16456,2.0,479,270,26345,-0.039935112,478.0,26317.0
16656,2.0,479,280,26345,0.82969666,478.0,26318.0
16856,2.0,479,290,26345,8.779764,478.0,26319.0
17056,2.0,479,300,26345,8.560419,478.0,26320.0
17256,2.0,479,310,26345,3.9303303,478.0,26321.0
17456,2.0,479,320,26345,-0.78976154,478.0,26322.0
17656,2.0,479,330,26345,-2.6500225,478.0,26323.0
17856,2.0,479,340,26345,-2.850294,478.0,26324.0
18056,2.0,479,350,26345,3.2401085,478.0,26325.0
18256,2.0,479,360,26345,5.220175,478.0,26326.0
18456,2.0,479,370,26345,6.120205,478.0,26327.0
18656,2.0,479,380,26345,4.1997433,478.0,26328.0
18856,2.0,479,390,26345,5.8996677,478.0,26329.0
19056,2.0,479,400,26345,4.7695637,478.0,26330.0
19256,2.0,479,410,26345,-1.9997358,478.0,26331.0
19456,2.0,479,420,26345,-2.0700693,478.0,26332.0
19656,2.0,479,430,26345,1.9001961,478.0,26333.0
19856,2.0,479,440,26345,4.659891,478.0,26334.0
20056,2.0,479,450,26345,4.849434,478.0,26335.0
20256,2.0,479,460,26345,4.34041,478.0,26336.0
20456,2.0,479,470,26345,-0.41007996,478.0,26337.0
20656,2.0,479,480,26345,-0.36001205,478.0,26338.0
20856,2.0,479,490,26345,-2.9301643,478.0,26339.0
21056,2.0,479,500,26345,-2.4199486,478.0,26340.0
21256,2.0,479,510,26345,-4.5001507,478.0,26341.0
21456,2.0,479,520,26345,-2.4598837,478.0,26342.0
21656,2.0,479,530,26345,3.9196014,478.0,26343.0
21856,2.0,479,540,26345,2.6595592,478.0,26344.0
22110,2.0,480,0,26400,3.529787,479.0,26345.0
22310,2.0,480,10,26400,-5.440116,479.0,26346.0
22510,2.0,480,20,26400,-4.7302246,479.0,26347.0
22710,2.0,480,30,26400,-3.8200617,479.0,26348.0
22910,2.0,480,40,26400,1.3899803,479.0,26349.0
23110,2.0,480,50,26400,0.12993813,479.0,26350.0
23310,2.0,480,60,26400,4.2700768,479.0,26351.0
23510,2.0,480,70,26400,5.0497055,479.0,26352.0
23710,2.0,480,80,26400,1.9598007,479.0,26353.0
23910,2.0,480,90,26400,-2.359748,479.0,26354.0
24110,2.0,480,100,26400,0.22053719,479.0,26355.0
24310,2.0,480,110,26400,2.2602081,479.0,26356.0
24510,2.0,480,120,26400,-0.23007393,479.0,26357.0
24710,2.0,480,130,26400,-0.20980835,479.0,26358.0
24910,2.0,480,140,26400,0.20980835,479.0,26359.0
25110,2.0,480,150,26400,0.77962875,479.0,26360.0
25310,2.0,480,160,26400,-0.29027462,479.0,26361.0
25510,2.0,480,170,26400,1.1205673,479.0,26362.0
25710,2.0,480,180,26400,2.4795532,479.0,26363.0
25910,2.0,480,190,26400,8.250475,479.0,26364.0
26110,2.0,480,200,26400,10.050535,479.0,26365.0
26310,2.0,480,210,26400,11.5299225,479.0,26366.0
26510,2.0,480,220,26400,13.639927,479.0,26367.0
26710,2.0,480,230,26400,6.879568,479.0,26368.0
26910,2.0,480,240,26400,7.419586,479.0,26369.0
27110,2.0,480,250,26400,7.9095364,479.0,26370.0
27310,2.0,480,260,26400,6.4504147,479.0,26371.0
27510,2.0,480,270,26400,7.929802,479.0,26372.0
27710,2.0,480,280,26400,0.44941902,479.0,26373.0
27910,2.0,480,290,26400,6.300211,479.0,26374.0
28110,2.0,480,300,26400,6.0105324,479.0,26375.0
28310,2.0,480,310,26400,0.6699562,479.0,26376.0
28510,2.0,480,320,26400,-2.3698807,479.0,26377.0
28710,2.0,480,330,26400,-5.9998035,479.0,26378.0
28910,2.0,480,340,26400,-0.41007996,479.0,26379.0
29110,2.0,480,350,26400,0.4696846,479.0,26380.0
29310,2.0,480,360,26400,-4.709959,479.0,26381.0
29510,2.0,480,370,26400,-6.4498186,479.0,26382.0
29710,2.0,480,380,26400,-4.5597553,479.0,26383.0
29910,2.0,480,390,26400,0.7903576,479.0,26384.0
30110,2.0,480,400,26400,1.4698505,479.0,26385.0
30310,2.0,480,410,26400,-1.0997057,479.0,26386.0
30510,2.0,480,420,26400,-0.24974346,479.0,26387.0
30710,2.0,480,430,26400,4.12941,479.0,26388.0
30910,2.0,480,440,26400,4.080534,479.0,26389.0
31110,2.0,480,450,26400,-1.4102459,479.0,26390.0
31310,2.0,480,460,26400,-3.7199259,479.0,26391.0
31510,2.0,480,470,26400,-2.989769,479.0,26392.0
31710,2.0,480,480,26400,-1.6897917,479.0,26393.0
31910,2.0,480,490,26400,-5.5098534,479.0,26394.0
32110,2.0,480,500,26400,-5.109906,479.0,26395.0
32310,2.0,480,510,26400,-6.700158,479.0,26396.0
32510,2.0,480,520,26400,-2.0498037,479.0,26397.0
32710,2.0,480,530,26400,-8.31008,479.0,26398.0
32910,2.0,480,540,26400,-5.6797266,479.0,26399.0
